;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
109;RuleOfFourFilter;2090871350297.0676;13841408329.8448;0.6619923472516942
112;RuleOfVeberFilter;2090871350297.0676;1690997028431.8894;80.87523071142733
119;ZINCDruglikeFilter;2090871350297.0676;1719328981474.0334;82.23026161938436
117;ValenceDiscoveryFilter;2090871350297.0676;1838998975107.545;87.9537124484614
104;NIHFilter;2090871350297.0676;1839889172541.5369;87.9962878768284
100;LINTFilter;2090871350297.0676;1923785373285.1804;92.0087872939601
107;PfizerFilter;2090871350297.0676;1952232972876.684;93.3693492236772
113;RuleOfXuFilter;2090871350297.0676;1979172706360.302;94.6577945161047
99;InpharmaticaFilter;2090871350297.0676;2103001668649.1963;100.58015613205495
114;SureChEMBLFilter;2090871350297.0676;2170255607263.0227;103.79670690665289
105;OpreaFilter;2090871350297.0676;2320115080392.026;110.96402846891502
116;TiceInsecticidesFilter;2090871350297.0676;2346213582279.1733;112.21224021964944
96;GlaxoFilter;2090871350297.0676;2358092649578.158;112.78037978009141
94;FAF4LeadlikeFilter;2090871350297.0676;2406072472622.504;115.07510838869418
93;FAF4DruglikeFilter;2090871350297.0676;2446625320530.7627;117.01462742713224
90;BeyondRo5Filter;2090871350297.0676;2448617942287.944;117.10992844873253
95;GhoseFilter;2090871350297.0676;2489241079786.919;119.05280922392723
106;PAINSFilter;2090871350297.0676;2685658369684.412;128.44684917141544
108;REOSFilter;2090871350297.0676;2706253222636.485;129.43183817846972
115;TiceHerbicidesFilter;2090871350297.0676;2743810277331.2603;131.22807756399857
91;BMSFilter;2090871350297.0676;2919535773061.7188;139.6324921017697
97;GSKFilter;2090871350297.0676;3082411169776.107;147.4223255934978
92;BrenkFilter;2090871350297.0676;3141208114243.164;150.2344041299751
118;ZINCBasicFilter;2090871350297.0676;3146171053625.479;150.47176638478862
101;LipinskiFilter;2090871350297.0676;3249049167626.269;155.3921128224675
102;MLSMRFilter;2090871350297.0676;3838686157095.0566;183.5926517693048
98;HaoFilter;2090871350297.0676;4153144562814.397;198.63223828784706
103;NIBRFilter;2090871350297.0676;4476077617203.927;214.07714140652283
111;RuleOfTwoFilter;2090871350297.0676;5486507375423.104;262.4029151599208
110;RuleOfThreeFilter;2090871350297.0676;9138730670236.355;437.077616895843
